id;title;company;link
job-item-7347581;Data Engineer Aerospace (m/w/d);Sopra Steria;stepstone.de/stellenangebote--Data-Engineer-Aerospace-m-w-d-bundesweit-Berlin-Frankfurt-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--7347581-inline.html
job-item-7726374;ERP Data Engineer Non-SAP (m/f/d) | on-site or remote;Best Secret GmbH;stepstone.de/stellenangebote--ERP-Data-Engineer-Non-SAP-m-f-d-on-site-or-remote-Aschheim-bei-Muenchen-oder-remote-Berlin-Hamburg-Koeln-Frankfurt-Stuttgart-oder-Leipzig-Best-Secret-GmbH--7726374-inline.html
job-item-7768364;Consultant (m/w/d) Marketing Data Engineer;Lidl Digital;stepstone.de/stellenangebote--Consultant-m-w-d-Marketing-Data-Engineer-Berlin-Lidl-Digital--7768364-inline.html
job-item-7772379;In-house Consultant SAP Master Data Architect (m/f/d);Atotech Deutschland GmbH;stepstone.de/stellenangebote--In-house-Consultant-SAP-Master-Data-Architect-m-f-d-Berlin-Atotech-Deutschland-GmbH--7772379-inline.html
job-item-7510112;Data Engineer (m/w/d) Schwerpunkt Snowflake;INFOMOTION GmbH;stepstone.de/stellenangebote--Data-Engineer-m-w-d-Schwerpunkt-Snowflake-Frankfurt-Koeln-Stuttgart-Hamburg-Berlin-Muenchen-Heilbronn-und-Saarbruecken-INFOMOTION-GmbH--7510112-inline.html
job-item-7682859;(Senior) Consultant Data Engineer SAS (w/m/d);adesso SE;stepstone.de/stellenangebote--Senior-Consultant-Data-Engineer-SAS-w-m-d-Dortmund-Berlin-Frankfurt-Main-Hamburg-Koeln-Muenchen-Nuernberg-Stuttgart-adesso-SE--7682859-inline.html
job-item-7763490;Data Engineer / Data Warehouse Entwickler (m/w/d);S-Markt & Mehrwert GmbH & Co. KG;stepstone.de/stellenangebote--Data-Engineer-Data-Warehouse-Entwickler-m-w-d-Hamburg-Halle-Saale-Berlin-bundesweit-S-Markt-Mehrwert-GmbH-Co-KG--7763490-inline.html
job-item-7686536;Product Manager Data and Insights (d/w/m);orderbird AG;stepstone.de/stellenangebote--Product-Manager-Data-and-Insights-d-w-m-Berlin-orderbird-AG--7686536-inline.html
job-item-7224022;Data Developer Marketing Intelligence (m/w/d);IU Internationale Hochschule;stepstone.de/stellenangebote--Data-Developer-Marketing-Intelligence-m-w-d-Hamburg-Berlin-IU-Internationale-Hochschule--7224022-inline.html
job-item-7766237;Data & BI Architect (m/w/d);Roland Berger GmbH;stepstone.de/stellenangebote--Data-BI-Architect-m-w-d-Duesseldorf-Berlin-Stuttgart-Frankfurt-am-Main-Hamburg-Muenchen-Roland-Berger-GmbH--7766237-inline.html
job-item-7684666;Senior Consultant / Manager (m/w/d) Data & Analytics / Artificial Intelligence;BearingPoint GmbH;stepstone.de/stellenangebote--Senior-Consultant-Manager-m-w-d-Data-Analytics-Artificial-Intelligence-Duesseldorf-Frankfurt-Muenchen-Berlin-Hamburg-BearingPoint-GmbH--7684666-inline.html
job-item-7763515;Senior Data Engineer / Data Warehouse Entwickler (m/w/d);S-Markt & Mehrwert GmbH & Co. KG;stepstone.de/stellenangebote--Senior-Data-Engineer-Data-Warehouse-Entwickler-m-w-d-Hamburg-Halle-Saale-Berlin-bundesweit-S-Markt-Mehrwert-GmbH-Co-KG--7763515-inline.html
job-item-7770880;Data Analyst / Data Scientist (m/w/d);Mazars GmbH & Co. KG;stepstone.de/stellenangebote--Data-Analyst-Data-Scientist-m-w-d-Berlin-Mazars-GmbH-Co-KG--7770880-inline.html
job-item-6720218;Data Architect BI & Data Warehouse Automotive (m|w|d);Sopra Steria;stepstone.de/stellenangebote--Data-Architect-BI-Data-Warehouse-Automotive-mwd-bundesweit-Berlin-Frankfurt-am-Main-Hamburg-Koeln-Leipzig-Muenchen-Sopra-Steria--6720218-inline.html
job-item-7766689;Data Scientist (m/w/d) für das Metadatenmanagement des Verbundes der Öffentlichen Bibliotheken Berlins;Zentral- und Landesbibliothek Berlin;stepstone.de/stellenangebote--Data-Scientist-m-w-d-fuer-das-Metadatenmanagement-des-Verbundes-der-Oeffentlichen-Bibliotheken-Berlins-Berlin-Zentral-und-Landesbibliothek-Berlin--7766689-inline.html
job-item-7389542;SAP BW Data Engineer (m/w/d);Daimler TSS GmbH;stepstone.de/stellenangebote--SAP-BW-Data-Engineer-m-w-d-Ulm-Berlin-Daimler-TSS-GmbH--7389542-inline.html
job-item-7477140;Consultant Forensic Data Analytics & Science (w/m/d);Ernst & Young GmbH Wirtschaftsprüfungsgesellschaft;stepstone.de/stellenangebote--Consultant-Forensic-Data-Analytics-Science-w-m-d-Berlin-Frankfurt-Main-Stuttgart-Ernst-Young-GmbH-Wirtschaftspruefungsgesellschaft--7477140-inline.html
job-item-7765463;Data Analyst*;ENERTRAG Aktiengesellschaft;stepstone.de/stellenangebote--Data-Analyst-Berlin-Schenkenberg-Edemissen-ENERTRAG-Aktiengesellschaft--7765463-inline.html
job-item-7724181;Sustainability Analyst / Climate Data Analyst / Controller (w/m/d);Axel Springer SE;stepstone.de/stellenangebote--Sustainability-Analyst-Climate-Data-Analyst-Controller-w-m-d-Berlin-Axel-Springer-SE--7724181-inline.html
job-item-7389541;SAP BI Data Architect (m/w/d);Daimler TSS GmbH;stepstone.de/stellenangebote--SAP-BI-Data-Architect-m-w-d-Ulm-Berlin-Daimler-TSS-GmbH--7389541-inline.html
job-item-7288176;Data Scientist - Advanced Optimization (m/f/d);Porsche Consulting GmbH;stepstone.de/stellenangebote--Data-Scientist-Advanced-Optimization-m-f-d-Bietigheim-Bissingen-Frankfurt-am-Main-Muenchen-Stuttgart-Berlin-Hamburg-Porsche-Consulting-GmbH--7288176-inline.html
job-item-7658424;Senior Data Specialist (all genders);Accenture;stepstone.de/stellenangebote--Senior-Data-Specialist-all-genders-Berlin-Duesseldorf-Frankfurt-Muenchen-Stuttgart-Accenture--7658424-inline.html
job-item-7763561;Data Analytics Solution Developer (m/f/x);Deutsche Bank;stepstone.de/stellenangebote--Data-Analytics-Solution-Developer-m-f-x-Berlin-Deutsche-Bank--7763561-inline.html
job-item-7406473;Data Engineer Recommender Systems (m/f/x);RTL Deutschland GmbH;stepstone.de/stellenangebote--Data-Engineer-Recommender-Systems-m-f-x-Koeln-Berlin-Muenchen-Frankfurt-am-Main-Hamburg-RTL-Deutschland-GmbH--7406473-inline.html
job-item-7722174;(Senior) Data & Business Analyst (m/w/d);Tele Columbus Vertriebs GmbH;stepstone.de/stellenangebote--Senior-Data-Business-Analyst-m-w-d-Berlin-oder-Leipzig-oder-Unterfoehring-Tele-Columbus-Vertriebs-GmbH--7722174-inline.html
